InstitutionCode,CollectionCode,CollectionName
UHIM,SEMC,Insect Collection
ISUI,NA,Insect Collection
UMA,NA,Insect Collection
UMAM,NA,Insect Collection
NA,NA,Insect Collection
UMSP,UMSP,Insect Collection
URIC,NA,Insect Collection
UTC,UTCI,Insect Collection
UTEP,NA,Insect Collection
TNHC,NA,Insect Collection
OSH,NA,Insect Collection
USDA-ARS,ARS,Insect Collection
USGS,PWRC-US-CA-MX,Insect Collection
USU,NA,Insect Collection
PPCD,NA,Insect collection
WWU,WWUC,Insect Collection
NA,NA,Insect Collection
WPU,NA,Insect Collection
CICC,NA,Insect Collection
CUAT,NA,Insect Collection
CEAM,NA,Insect Collection
UniSierra,UniSierra,Insect Collection
NA,NA,Insect Collection
UACC,NA,Insect Collection
NA,NA,Insect Collection
UNAM,NA,Insect Collection
UAQ,NA,Insect Collection
NA,NA,Insect Collection
CZIIZD,NA,Insect Collection
CMN,CMNEN,Insect Collection
CNC,NA,Insect Collection
ULQC,NA,Insect Collection
MMMN,NA,Insect Collection
IMQC,NA,Insect Collection
NBMB,NA,Insect Collection
PMAE,NA,Insect Collection
ROME,NA,Insect Collection
SMNH,NA,Insect Collection
BRFC,NA,Insect Collection 
DART,NA,Insect Collection 
WICH,WICHI,Insect Collection 
DAR,NA,Insect Collection.
UMMC*,NA,Insect Division
NA,NA,Insect Museum
UWY,NA,Insect Museum
NDA,NA,Insect Reference Collection
UD,UDCC,Insect Research Collection
IBE,,Institute for Botanical Exploration
USU,UTC,Intermountain Herbarium (Utah State University)
CONABIO,IHPM,Inventario de Hymenóptera; parasítica en México
CONABIO,ILSH,Inventario de la lepidopterofauna de la Sierra de Huautla
CONABIO,RTP120,"Inventario de las mariposas de la selva baja de las sierras de Taxco-Huautla, Guerrero (RTP120)"
CONABIO,IRSG,"Inventario de los ropaloceros (Lepidoptera) de la Sierra Gorda, estado de Querétaro, México"
TTU,TTU-Z,Invertebrate Zoology
CLEV,CMNHENT,Invertebrate Zoology Collection
UCSB,IZC,Invertebrate Zoology Collection
MPM,MPM ENT,Invertebrate Zoology-Insect Collection
USFS,INF,Inyo National Forest Herbarium
ILH,,Iowa Lakeside Laboratory
ISC,,"Iowa State University, Ada Hayden Herbarium"
JFBM,F,J. F. Bell Museum of Natural History - Fish
JFBM,M,J. F. Bell Museum of Natural History - Mollusks
MIN,,J. F. Bell Museum of Natural History Herbarium
SJSC,NA,J. Gordon Edwards Museum of Entomology
JBWM,NA,J.B. Wallis Museum of Entomology
JMUH,,James Madison University Herbarium
WSU,NA,James Museum
JBM,,Jardin Botanique de Montréal
JEMEZ,,Jemez Mountain Herbarium
SUCO,,Jewell and Arline Moss Settle Herbarium at SUNY Oneonta
HAW,,Joseph F. Rock Herbarium - University of Hawaii
JMM,JMMI,Joseph Moore Museum
KSU,MEPAR,K-State Museum of Entomological and Prairie Arthropod Research
KAIB,,Kaibab National Forest Herbarium
WVW,ENT,Katharine B. Gregg Orchid Pollinator Collection
DBG,KHD,Kathryn Kalmbach Herbarium
UCSC,,Kenneth S. Norris Center for Natural History at University of California Santa Cruz
KE,,Kent State University Herbarium
KNFY,,Klamath National Forest Herbarium
KNOX,,Knox College Herbarium
KKIC,KKIC,Kojun Kanda Insect Collection
UAM,KWP,KWP Lepidoptera Collection (Arctos)
PDD,,Landcare Research
CONABIO,ECO-CH,"Lepidoptera (Rhopalocera y Heterocera) de áreas prioritarias para la conservación en la Península de Yucatán, con registros de adultos y estados inmad"
fieldguide,LepSnap,LepSnap Observations
LIMC,,Long Island Mycological Club
FARM,,"Longwood University, Harvill-Stevens Herbarium"
QFA,,"Louis-Marie Herbarium, Université Laval"
LSUA,,Louisiana State University of Alexandria Herbarium
LSUS,,"Louisiana State University Shreveport, D. T. MacRoberts Herbarium"
LSUM,,"Louisiana State University, Bernard Lowy Mycological Herbarium"
LSU,Vascular Plants,"Louisiana State University, Shirley C. Tucker Herbarium"
LTU,,Louisiana Tech University Herbarium
LL,,Lundell Herbarium - University of Texas at Austin
LCDI,,Luther College
MGU,LEMQ,Lyman Entomological Museum
MGU,LEMQ,Lyman Entomological Museum (LEMQ)
LYN,,"Lynchburg College, Ramsey-Freer Herbarium"
MAJC,MAJC,M. Andrew Johnston Collection
MABA,Plants,Madrean Archipelago Biodiversity Assessment Observations
GreaterGood,,Madrean Discovery Expeditions
SEL,,Marie Selby Botanical Gardens Herbarium
MT,,Marie-Victorin Herbarium
NA,NA,Marjorie Barrick Museum of Natural History - Entomology
MUHW,,Marshall University
TAWES,,Maryland Department of Natural Resources
VPI,,Massey Herbarium (Virginia Tech)
INVCOL,NA,Mayaguez Invertebrate Collection
MCMUC,MCMUC,McMaster University Collection
